version,0.288,,,,,,,,,,,,,,,,
Label,Description,P_Familj,Group Name,Variable Name,Internet link,Latin,p_Smaprov,P_Stora,P_BuskarTrad,P_Barande,P_Habitat,P_hävd,P_Mossor,P_Fukt,P_KalkSilikat,P_sida_nordiskafloran,Datum införande
Kärleksört,,Fetbladsväxter,Artrikt,Karleksort,https://sv.wikipedia.org/wiki/Kärleksört,Hylotelephium telephium,,,,,,,,Torr,,243,
Vit fetknopp,,Fetbladsväxter,Artrikt,Vit_fetknopp,https://sv.wikipedia.org/wiki/Vit fetknopp,Sedum album,,,,,,,,Torr,,246,
Gul fetknopp,,Fetbladsväxter,Artrikt,Gul_fetknopp,https://sv.wikipedia.org/wiki/Gul fetknopp,Sedum acre,,,,,,,,,,246,
Bockrot,,Flockblommiga,Artrikt,Bockrot,https://sv.wikipedia.org/wiki/Bockrot,Pimpinella saxifraga,,,,,,Gynnad,,,,432,
Vildmorot,,Flockblommiga,Artrikt,Vildmorot,https://sv.wikipedia.org/wiki/Vildmorot,Daucus carota subsp. carota,,,,,,,,,,448,
Axveronika,,Grobladsväxter,Artrikt,Axveronika,https://sv.wikipedia.org/wiki/Axveronika,Veronica spicata,,,,,,,,Torr,Kalk,542,
Rödkämpar,,Grobladsväxter,Artrikt,Rodkampar,https://sv.wikipedia.org/wiki/Rödkämpar,Plantago media,,,,,,,,,,566,
Svartkämpar,,Grobladsväxter,Artrikt,Svartkampar,https://sv.wikipedia.org/wiki/Svartkämpar,Plantago lanceolata,,,,,,,,,,566,
Darrgräs,,Gräs,Artrikt,Darrgras,https://sv.wikipedia.org/wiki/Darrgräs,Briza media,,,,,,,,,,840,
Fårsvingel,,Gräs,Artrikt,Farsvingel,https://sv.wikipedia.org/wiki/Fårsvingel,Festuca ovina,,,,,,,,,,821,
Råglosta,,Gräs,Artrikt,Raglosta,https://sv.wikipedia.org/wiki/Råglosta,Bromus secalinus,,,,,,,,,,,
Ängshavre,,Gräs,Artrikt,Angshavre,https://sv.wikipedia.org/wiki/Ängshavre,Avenula pratensis,,,,,,,,,,858,
Jungfrulin,,Jungfrulinsväxter,Artrikt,Jungfrulin,https://sv.wikipedia.org/wiki/Jungfrulin,Polygala vulgaris,,,,,,,,,,381,
Åkervädd,,Kaprifolväxter,Artrikt,Akervadd,http://sv.wikipedia.org/wiki/%C3%85kerv%C3%A4dd,Knautia arvensis,,,,,,,,,,577,2015-08-28
Ängsvädd,,Kaprifolväxter,Artrikt,Angsvadd,https://sv.wikipedia.org/wiki/Ängsvädd,Succisa pratensis,,,,,,,,,,577,
Liten blåklocka,,Klockväxter,Artrikt,Liten_blaklocka,https://sv.wikipedia.org/wiki/Liten_bl%C3%A5klocka,Campanula rotundifolia subsp. rotundifolia,,,,,,,,,,580,2015-08-28
Stor blåklocka,,Klockväxter,Artrikt,Stor_blaklocka,https://sv.wikipedia.org/wiki/Stor blåklocka,Campanula persicifolia,,,,,,,,,,580,
Kattfot,,Korgblommiga,Artrikt,Kattfot,https://sv.wikipedia.org/wiki/Kattfot,Antennaria dioica,,,,,,,,Torr,,598,
